X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,Zip_Code,Zip4,Proposed_new_category,Latitude,Longitude,ObjectId,NOTES,Store_Type
-7950140,5134245,1187936,Regency Plaza Market,3 Regency Plz,Ste 5,2903,3120,Corner Store,41.82128,-71.4173,140821,,Convenience Store
-7951506,5133631,1601598,Restaurant Superstore 2,1229 Westminster St,,2909,1410,Corner Store,41.81717,-71.4296,250179,no produce and lots of options but not a lot from our WIC list,Grocery Store
-7954556,5133779,837607,Rodriguez Meat Market,400 Hartford Ave,,2909,5115,Corner Store,41.81816,-71.457,31872,,Grocery Store
-7951798,5131507,1632445,Rodriguez Mini Market LLC NO,680 Potters Ave,,2907,3047,Corner Store,41.80294,-71.4322,177297,canned stuff but no produce,Grocery Store
-7951001,5136326,1594232,Smith Hill Stop And Go,544 Chalkstone Ave,,2908,3618,Corner Store,41.83521,-71.4251,56292,,Convenience Store
-7951489,5129612,647849,SUNNY MARKET PLACE,243 Reservoir Ave,,2907,3402,Corner Store,41.79025,-71.4294,46153,,Grocery Store
-7951439,5132992,1405037,Taste Of Africa Market,306 Cranston St,,2907,2408,Corner Store,41.81289,-71.429,175594,,Grocery Store
-7950468,5138997,539320,TOOFS MARKET,611 Charles St,,2904,1345,Corner Store,41.85308,-71.4203,19265,,Grocery Store
-7953119,5136005,441402,Walgreens 03204,295 Academy Ave,,2908,4148,Corner Store,41.83306,-71.4441,15960,,Other
-7951332,5137876,341825,Walgreens 03703,354 Admiral St,,2908,2537,Corner Store,41.84558,-71.428,11669,,Other
-7951189,5130709,419003,WALGREENS 04145,533 Elmwood Ave,,2907,1758,Corner Store,41.7976,-71.4267,16610,,Other
-7951432,5134668,849689,Walgreens 10099,333 Atwells Ave,,2903,1442,Corner Store,41.82411,-71.4289,65392,,Other
-7948502,5138782,842909,Walgreens 10256,1140 N Main St,,2904,1819,Corner Store,41.85164,-71.4026,35358,,Other
-7953646,5133055,867271,Walgreens 11147,1 Pocasset Ave,,2909,2907,Corner Store,41.81331,-71.4488,93646,,Other
-7949842,5131828,1156767,Walgreens 15538,335 Prairie Ave,,2905,1924,Corner Store,41.80509,-71.4147,108003,,Other
-7946719,5135015,366597,Walgreens 19900,135 Pitman St,,2906,5112,Corner Store,41.82643,-71.3866,24286,,Other
-7950578,5132915,1626208,West African Super Store,404 Broad St,,2907,2240,Corner Store,41.81237,-71.4213,258315,,Grocery Store
-7951775,5133188,1638512,Armory Park Farmers Market,Parade St,Dexter Training Ground,2909,,Farmers Market,41.8142,-71.432,1576,,Farmers and Markets
-7950367,5131335,1277195,Broad St Farmers Market,807 Broad St,,2907,1676,Farmers Market,41.80179,-71.4194,226856,,Farmers and Markets
-7951954,5135106,1279039,Farm Fresh Providence Farmers Market,10 Sims Ave,,2909,1165,Farmers Market,41.82704,-71.4336,227737,,Farmers and Markets
-7951945,5135083,1595889,Harvest Kitchen,10 Sims Ave,Apt 104,2909,1165,Farmers Market,41.82689,-71.4335,249341,,Other
